1;
The transport of the potential vorticity gradient $\bnabla{q}$ along surfaces of constant temperature θ is investigated for the stratified Euler , Navier-Stokes and hydrostatic primitive equations of the oceans and atmosphere using the divergenceless flux vector $\bdB = \bnabla Q( q )\times\bnabla\theta$ , for any smooth function Q(q) .;2 Problem, 32 Method-Procedure
The flux $\bdB$ is shown to satisfy \partial_t\bdB - {curl} ( \bU\times\bdB ) = - \bnabla\big[qQ'( q ) {div} \bU\big]\times\bnabla\theta ,where $\bU$ is a formal transport velocity of PV flux .;41 Results-Specific
While the left hand side of this expression is reminiscent of the frozen-in magnetic field flux in magnetohydrodynamics , the non-zero right hand side means that $\bdB] is not frozen into the flow of $\bU$ when ${div} \bU \neq 0$ .;51 Conclusions-Explanation
The result may apply to measurements of potential vorticity and potential temperature at the tropopause .;52 Conclusions-Specific
2;
In cold molecular clouds submillimetre emission lines are excited by the ambient radiation field .;1 Background
The pumping is dominated by the cosmic microwave background ( CMB ) .;1 Background
It is usual in molecular line radiative transfer modelling to simply assume that this is the only incident radiation field .;1 Background
In this paper, a molecular line transport code and a dust radiative transfer code are used to explore the effects of the inclusion of a full interstellar radiation field (ISRF) on a simple test molecular cloud .;2 Problem
It is found that in many galactic situations , the shape and strength of the line profiles that result are robust to variations in the ISRF and thus that in most cases , it is safe to adopt the CMB radiation field for the molecular line transport calculations .;42 Results-Reference, 52 Conclusions-Specific
However , we show that in two examples , the inclusion of a plausible radiation field can have a significant effect on the line profiles .;42 Results-Reference
Firstly , in the vicinity of an embedded massive star , there will be an enhanced far infared component to the radiation field .;41 Results-Specific
Secondly , for molecular clouds at large redshift , the CMB temperature increases and this of course also alters the radiation field .;41 Results-Specific
In both of these cases , the line profiles are weakened significantly compared to a cloud exposed to a standard radiation field .;41 Results-Specific
Therefore this effect should be accounted for when investigating prestellar cores in massive star forming regions and when searching for molecular clouds at high redshift .;52 Conclusions-Specific
3;
We derive absolute dimensions of the early B-type detached eclipsing binary V453 Cygni (B0.4 IV + B0.7 IV, P=3.89d), a member of the open cluster NGC 6871.;2 Problem
From the analysis of new, high-resolution, spectroscopy and the UBV light curves of Cohen (1974) we find the masses to be 14.36 +/- 0.20 and 11.11 +/- 0.13 Msun, the radii to be 8.55 +/- 0.06 and 5.49 +/- 0.06 Rsun, and   the effective temperatures to be 26600 +/- 500 and 25 500 +/- 800 K for the primary and secondary stars, respectively.;31 Method-Specific, 41 Results-Specific
The surface gravities of 3.731 +/- 0.012 and 4.005 +/- 0.015 indicate that V453 Cyg is reaching the end of its main sequence lifetime.;51 Conclusions-Explanation
We have determined the apsidal motion period of the system to be 66.4 +/- 1.8 yr using the technique of Lacy (1992) extended to include spectroscopic data as well as times of minimum light, giving a density concentration coefficient of log(k_2) = -2.226 +/- 0.024.;31 Method-Specific, 41 Results-Specific
Contaminating (third) light has been detected for the first time in the light curve of V453 Cyg, previous analyses without this effect systematically underestimate the ratio of the radii of the two stars.;2 Problem, 41 Results-Specific
The absolute dimensions of the system have been compared to the stellar evolution models of the Granada, Geneva, Padova and Cambridge groups.;42 Results-Reference
All model sets fit the data on V453 Cyg for solar helium and metal abundances and an age of 10.0 +/- 0.2 Myr.;41 Results-Specific
The Granada models also agree fully with the observed log(k_2) once general relativistic effects have been accounted for.;41 Results-Specific
The Cambridge models with convective core overshooting fit V453 Cyg better than those without.;41 Results-Specific
Given this success of the theoretical predictions, we briefly discuss which eclipsing binaries should be studied in order to further challenge the models.;53 Conclusions-Reference
4;
We report the discovery of only the fourth massive WO star to be found in the Milky Way, and only the seventh identified within the Local Group.;41 Results-Specific
This has resulted from the first observations made in a programme of follow-up spectroscopy of candidate emission line stars from the AAO/UK Schmidt Southern Galactic Plane H-alpha Survey.;32 Method-Procedure
The optical spectrum of this star, to become WR 93b in the Catalogue of Galactic Wolf-Rayet stars, is presented and described.;42 Results-Reference
WR 93b is classified as WO3 and is shown to be highly reddened (E(B-V) = 2.1 pm 0.1).;41 Results-Specific
A recombination line analysis of the emission lines yields the abundance ratios C/He = 0.95 and O/He = 0.13 (by number).;41 Results-Specific
Comparisons at near infrared wavelengths of reddening corrected photometry between WR 93b and both of Sand 2 (WO3, D = 49 kpc) and Sand 5 (WO2, D = 1.75 kpc) yields a consistent distance to WR 93b of 3.4 kpc.;41 Results-Specific
Positioned at Galactic co-ordinates l = 353.27, b = -0.85, the star is most likely located in the Scutum-Crux Arm of the inner Milky Way.;41 Results-Specific
We note that none of the four Galactic WO stars lies significantly beyond the Solar Circle (with two well inside).;41 Results-Specific
Estimation of the wind terminal velocity in WR 93b at 5750 km/s makes this star the current wind speed record holder among all non-degenerate stars.;41 Results-Specific
5;
We present the final catalogue of the 2dF QSO Redshift Survey (2QZ), based on Anglo-Australian Telescope 2dF spectroscopic observations of 44576 colour-selected (u b_J r) objects with 18.25<b_J<20.85 selected from APM scans of UK Schmidt Telescope (UKST) photographic plates.;2 Problem, 32 Method-Procedure
The 2QZ comprises 23338 QSOs, 12292 galactic stars (including 2071 white dwarfs) and 4558 compact narrow-emission-line galaxies.;41 Results-Specific
We obtained a reliable spectroscopic identification for 86 per cent of objects observed with 2dF.;41 Results-Specific
We also report on the 6dF QSO Redshift Survey (6QZ), based on UKST 6dF observations of 1564 brighter 16<b_J<18.25 sources selected from the same photographic input catalogue.;42 Results-Reference
In total, we identified 322 QSOs spectroscopically in the 6QZ.;41 Results-Specific
