1;
Various models for transition between electron and nuclear subsystems are compared in the case of electron attachment to the SF6 molecule.;2 Problem
Experimental data, including the cross section of electron attachment to this molecule as a function of the electron energy and vibrational temperature, the rate constants of this process in swarm experiments, and the rates of the chemionization process involving Rydberg atoms and the SF6 molecule, are collected and treated.;42 Results-Reference
Based on the data and on the resonant character of electron capture into an autodetachment ion state in accordance with the Breit-Wigner formula, we find that intersection of the molecule and negative ion electron terms proceeds above the potential well bottom of the molecule with the barrier height 0.05-0.1 eV, and the transition between these electron terms has both the tunnel and above-barrier character.;41 Results-Specific
The limit of small electron energies \varepsilon for the electron attachment cross section at room vibrational temperature takes place at \varepsilon \ll 2 meV, while in the range 2 meV\ll \varepsilon \ll 80 meV, the cross section is inversely proportional to \varepsilon.;41 Results-Specific
In considering the attachment process as a result of the interaction between the electron and vibrational degrees of freedom, we find the coupling factor f between them to be f=aT at low vibrational temperatures T with a \approx 3\cdot 10^{-4} K-1.;41 Results-Specific
The coupling factor is independent of the temperature at T>400 K.;41 Results-Specific
2;
Many interesting nonlinear effects are based on the strong interaction of motional degrees of freedom of atoms with an optical cavity field.;1 Background
Among them is the spatial self-organization of atoms in a pattern where the atoms group in either odd or even sites of the cavity-induced optical potential.;1 Background
An experimental observation of this effect can be simplified by using, along with the original cavity-induced feedback, an additional electronic feedback based on the detection of light leaking the cavity and the control of the optical potential for the atoms.;52 Conclusions-Specific
Following our previous study, we show that this approach is more efficient from the laser power perspective than the original scheme without the electronic feedback.;2 Problem
3;
We present the results of a systematic study of Knudsen's flow of Rb atoms in cylindrical capillary cells coated with a polydimethylsiloxane (PDMS) compound.;2 Problem
The purpose of the investigation is to determine the characterization of the coating in terms of the sticking probability and sticking time of Rb on the two types of coating of high and medium viscosities.;2 Problem
We report the measurement of the sticking probability of an Rb atom to the coating equal to 4.3\cdot10^{-5}, which corresponds to the number of bounces 2.3\cdot10^4 at room temperature.;41 Results-Specific
These parameters are the same for the two kinds of PDMS used.;41 Results-Specific
We find that at room temperature, the respective sticking times for high-viscosity and medium-viscosity PDMS are 22\pm3 \mus and 49\pm6 \mus.;41 Results-Specific
These sticking times are about million times larger than the sticking time derived from the surface Rb atom adsorption energy and temperature of the coating.;41 Results-Specific
A tentative explanation of this surprising result is proposed based on the bulk diffusion of the atoms that collide with the surface and penetrate inside the coating.;42 Results-Reference
The results can be important in many resonance cell experiments, such as the efficient magneto-optical trapping of rare elements or radioactive isotopes and in experiments on the light-induced drift effect.;51 Conclusions-Explanation
4;
The wave function of a moderately cold atom in a stationary near-resonant standing light wave delocalizes very fast due to wave packet splitting.;2 Problem
However, we show that frequency modulation of the field can suppress packet splitting for some atoms whose specific velocities are in a narrow range.;2 Problem
These atoms remain localized in a small space for a long time.;42 Results-Reference
We demonstrate and explain this effect numerically and analytically.;32 Method-Procedure
We also demonstrate that the modulated field can not only trap but also cool the atoms.;42 Results-Reference
We perform a numerical experiment with a large atomic ensemble having wide initial velocity and energy distributions.;32 Method-Procedure
During the experiment, most of atoms leave the wave while the trapped atoms have a narrow energy distribution.;42 Results-Reference
5;
We investigate the Jordan-Wigner fermion clusters with a stationary distributed quantum pairwise discord.;2 Problem
Such clusters appear after the Jordan-Wigner transformation of a spin chain governed by the nearest-neighbor XY Hamiltonian with the particular initial state having one polarized node.;1 Background
